country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Avg_hr
Albania,,,,,,,,,,,,21.7,,,,,,,21.70
Algeria,,,,,,,,,,,,,21.7,,,,,,21.70
Argentina,,,,,,16.7,,,,,17.5,,,23.4,,,,,19.20
Armenia,,,,,24,,,,21.7,,,,,,,,,,22.85
Australia,,,,,,,20.8,,,,,,,,,,,,20.80
Austria,,,,,,,,,,19.1,,,,,,,,,19.10
Azerbaijan,,,,,,,,,25.4,,,,,,,,,,25.40
Belarus,,,,,,,,,,,,,,,,19.2,,,19.20
Belgium,16,,,,,15,,,,,,,,15.9,,,,,15.63
Bhutan,,,,,,,,13.3,,,,,,,,15,,,14.15
Bolivia,,23.1,,,,,,,,,,,,,,,,,23.10
Brazil,,,,,,,,,,17.6,,,13.3,,,,,,15.45
Bulgaria,,,20.9,,,,,,,,18.5,,,,,,,,19.70
Cambodia,,,,,12.5,,,,,,,,,,,,,,12.50
Cameroon,,,,,,,,,,,,,,,15.8,,,,15.80
Canada,,,,,,16.3,,,,,16.3,,,,,,14.6,,15.73
Chile,,,,,,,,,15.9,,,,,,,22.1,,,19.00
China,,,,,,,,,16.2,,,,,,,,,,16.20
Colombia,,,,,,,,,,,,,,17.5,,,,,17.50
Costa Rica,,,,,,,,,,,,,,,,,,22.1,22.10
Cuba,,16.3,,,,,,,,,,,,,,,,,16.30
Denmark,,14.6,,,,,,,,15.6,,,,,,,,,15.10
Ecuador,,,,,,,,,,,,,19.8,,,,,,19.80
Egypt,,,,,,,,,,,,,,,,22.4,,,22.40
El Salvador,,,,,,,,,,,22.7,,,,,,,,22.70
Estonia,19.9,,,,,,,,,,17.2,,,,,,,,18.55
Ethiopia,,,,,,,,,,,,,,19.3,,,,,19.30
Fiji,,,,,,,,,,,,,,,,,15.2,,15.20
Finland,15.8,,,,,,,,,,15.2,,,,,,,,15.50
France,,,,,,,,,,,15.8,,,,,,,,15.80
Germany,,,17.7,,,,,,,,,,,16.4,,,,,17.05
Ghana,,,,,,,,,,15.5,,,,,,,,,15.50
Greece,,,,,,,,,,,,,,,18.1,,,,18.10
Guatemala,,,,,,,,,,,,,,,17.8,,,,17.80
Honduras,,,,,,,,,,17.3,,,,,,,,,17.30
Hungary,19.5,,,,,,,,,,17.3,,,,,,,,18.40
Iran,,,,,,,,,,21,,,,,,,,,21.00
Iraq,,,,,,,,24.1,,,,,,,,,,,24.10
Ireland,,,,,,20.6,,,,,,,,,,,,,20.60
Italy,,,,21.9,,,,,,21.1,,,,,20.4,,,,21.13
Japan,,15.6,,,,,15.6,,,,,15.6,,,,,15.1,,15.48
Kazakhstan,27.7,,,28.5,,,26.1,,,,,,17.1,,,,,,24.85
Kyrgyz Republic,27.7,,,,,23.8,,,,,18.8,,,,,16.8,,,21.78
Lao,,,,10,,,,,10.4,,,,,10.4,,,,,10.27
Latvia,,,,18.3,,,,,,,,,,,,,,,18.30
Lesotho,,,,15.6,,,,,,,,,,,,,,,15.60
Liberia,,,,,,,,,,,6.29,,,,,,,,6.29
Lithuania,,,,18.7,,,,,,,,,,,,,,,18.70
Luxembourg,,,,,,,,,,,,,,,14.4,,,,14.40
Malawi,,,,,,8.68,,,,,,,,,,,,,8.68
Malaysia,,,,19.1,,,,,,,,,,,,,,,19.10
Malta,,,18.8,,,,,,,,,,,,,,,,18.80
Mauritius,,,,19,,,,,,,,,,,,,,,19.00
Mexico,,,29.1,,,,,,,31,,,,,29.5,,,,29.87
Moldova,,,,,,,,,,,,,19,,,,,,19.00
Mongolia,20.1,,,,,,,19.8,,,,19.9,,,,,,,19.93
Morocco,,,,,,,,,,,,,20.8,,,,,,20.80
Netherlands,,15,,15.1,,,16.9,,,,,,14.7,,,,,,15.43
New Zealand,,,,,,,,,,,18.1,,,,,,,,18.10
North Macedonia,,,,,23.8,,,,,19.5,,,,,,,,,21.65
Norway,,,,,,,,,,,,15.3,,,,,,,15.30
Oman,20.6,,,,,,,,18.9,,,,,,,,,,19.75
Pakistan,,,,,,,,19.9,,,,,,,,,,,19.90
Palestine,23.1,,,,,,,,,,,,,20.1,,,,,21.60
Panama,,,,,,,,,,,,17.7,,,,,,,17.70
Paraguay,,,,,,,,,,,,,,,,,14.5,,14.50
Peru,,,,,,,,,,,23.6,,,,,,,,23.60
Poland,,,,,19.8,,,,,,,,,18.3,,,,,19.05
Portugal,,,,,,,,,,,,,,,,17.8,,,17.80
Qatar,,,,,,,,,,,,,,8.19,,,,,8.19
Romania,20.8,,,,,,,,,,,,19,,,,,,19.90
Russia,,,,,,,,,,,,,,,18.4,,,,18.40
Serbia,,,,,,,,,,,,20.2,,,,19.2,,,19.70
Slovenia,,20.6,,,,,,,,,,,,,,,,,20.60
South Africa,14.8,,,,,,,,,,15.6,,,,,,,,15.20
South Korea,,,,,14.6,,,,,14.4,,,,,14.6,,,,14.53
Spain,,,,20.5,,,,,,,19,,,,,,,,19.75
Sweden,,17.7,,,,,,,,,,16,,,,,,,16.85
Switzerland,18.1,,,,18.1,,,17.9,,,16.7,,,16.5,,,16.8,,17.35
Tanzania,,,,,,,17.1,,,,,,,,16.5,,,,16.80
Thailand,,,,,,,,,,12.8,,,,,,11.8,,,12.30
Tunisia,,,,,,,21.9,,,,,,,,,,,,21.90
Turkey,,,,,,,22,,,,,,,,,19.2,,,20.60
United Kingdom,,14.8,,,,,,,,,,,,,,12.7,,,13.75
United States,,,,16.5,16.6,16.5,16.3,16.1,15.6,15.9,15.3,15.2,15.3,15.6,15.5,15.9,15.9,,15.87
Uruguay,,,,,,,,25.2,,,,,,19.9,,,,,22.55